"RT","ISI","Trial","Participant","Session","Threshold","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.317,1.353,105,"S001","S2",0.316,"Negative",0,1
0.433,0.13,106,"S001","S2",0.318,"Negative",0,2
0.35,0.928,107,"S001","S2",0.318,"Negative",0,3
0.367,1.535,108,"S001","S2",0.318,"Negative",0,4
0.367,2.165,109,"S001","S2",0.319,"Negative",0,5
0.333,1.531,110,"S001","S2",0.319,"Negative",0,6
0.3,2.173,111,"S001","S2",0.319,"Positive",0,7
0.317,3.445,112,"S001","S2",0.319,"Positive",1,0
0.417,1.43,113,"S001","S2",0.32,"Negative",2,0
0.383,0.198,114,"S001","S2",0.32,"Negative",0,1
0.283,1.458,115,"S001","S2",0.32,"Positive",0,2
0.4,0.892,116,"S001","S2",0.321,"Negative",1,0
0.283,2.642,117,"S001","S2",0.32,"Positive",0,1
0.383,1.84,118,"S001","S2",0.321,"Negative",1,0
0.383,3.331,119,"S001","S2",0.321,"Negative",0,1
0.3,1.519,120,"S001","S2",0.321,"Positive",0,2
0.517,0.346,1,"S005","S1",NA,"Positive",0,0
0.35,2.006,2,"S005","S1",0.433,"Positive",1,0
0.35,0.204,3,"S005","S1",0.406,"Positive",2,0
0.3,0.929,4,"S005","S1",0.379,"Positive",3,0
0.3,0.97,5,"S005","S1",0.363,"Positive",4,0
0.283,0.545,6,"S005","S1",0.35,"Positive",5,0
0.266,1.799,7,"S005","S1",0.338,"Positive",6,0
0.3,2.725,8,"S005","S1",0.333,"Positive",7,0
0.3,2.013,9,"S005","S1",0.33,"Positive",8,0
0.284,2.759,10,"S005","S1",0.325,"Positive",9,0
0.317,1.366,11,"S005","S1",0.324,"Positive",10,0
0.3,2.709,12,"S005","S1",0.322,"Positive",11,0
0.317,1.172,13,"S005","S1",0.322,"Positive",12,0
0.35,0.509,14,"S005","S1",0.324,"Negative",13,0
0.333,2.614,15,"S005","S1",0.324,"Negative",0,1
0.316,0.504,16,"S005","S1",0.324,"Positive",0,2
0.317,1.557,17,"S005","S1",0.323,"Positive",1,0
0.3,3.287,18,"S005","S1",0.322,"Positive",2,0
0.417,0.206,19,"S005","S1",0.327,"Negative",3,0
0.3,3.108,20,"S005","S1",0.326,"Positive",0,1
0.3,2.685,21,"S005","S1",0.325,"Positive",1,0
0.317,2.787,22,"S005","S1",0.324,"Positive",2,0
0.283,3.247,23,"S005","S1",0.322,"Positive",3,0
0.417,0.55,24,"S005","S1",0.326,"Negative",4,0
0.317,1.406,25,"S005","S1",0.326,"Positive",0,1
0.317,3.117,26,"S005","S1",0.326,"Positive",1,0
0.333,2.352,27,"S005","S1",0.326,"Negative",2,0
0.333,2.951,28,"S005","S1",0.326,"Negative",0,1
0.3,2.751,29,"S005","S1",0.325,"Positive",0,2
0.317,0.791,30,"S005","S1",0.325,"Positive",1,0
0.3,0.772,31,"S005","S1",0.324,"Positive",2,0
0.317,3.404,32,"S005","S1",0.324,"Positive",3,0
0.3,1.792,33,"S005","S1",0.323,"Positive",4,0
0.283,1.326,34,"S005","S1",0.322,"Positive",5,0
0.3,2.627,35,"S005","S1",0.321,"Positive",6,0
0.317,1.919,36,"S005","S1",0.321,"Positive",7,0
0.367,0.619,37,"S005","S1",0.323,"Negative",8,0
0.333,1.799,38,"S005","S1",0.323,"Negative",0,1
0.3,2.555,39,"S005","S1",0.322,"Positive",0,2
0.283,2.329,40,"S005","S1",0.321,"Positive",1,0
0.4,0.503,41,"S005","S1",0.323,"Negative",2,0
0.3,2.927,42,"S005","S1",0.323,"Positive",0,1
0.3,1.101,43,"S005","S1",0.322,"Positive",1,0
0.317,1.143,44,"S005","S1",0.322,"Positive",2,0
0.333,0.459,45,"S005","S1",0.322,"Negative",3,0
0.3,1.578,46,"S005","S1",0.322,"Positive",0,1
0.333,2.299,47,"S005","S1",0.322,"Negative",1,0
0.334,2.87,48,"S005","S1",0.322,"Negative",0,1
0.4,0.245,49,"S005","S1",0.324,"Negative",0,2
0.317,2.618,50,"S005","S1",0.324,"Positive",0,3
0.3,0.925,51,"S005","S1",0.323,"Positive",1,0
0.333,0.779,52,"S005","S1",0.323,"Negative",2,0
0.3,2.585,53,"S005","S1",0.323,"Positive",0,1
0.333,0.972,54,"S005","S1",0.323,"Negative",1,0
0.35,0.787,55,"S005","S1",0.324,"Negative",0,1
0.3,2.17,56,"S005","S1",0.323,"Positive",0,2
0.3,2.614,57,"S005","S1",0.323,"Positive",1,0
0.3,0.774,58,"S005","S1",0.322,"Positive",2,0
0.3,2.625,59,"S005","S1",0.322,"Positive",3,0
0.4,0.241,60,"S005","S1",0.323,"Negative",4,0
0.35,0.323,61,"S005","S1",0.324,"Negative",0,1
0.317,0.831,62,"S005","S1",0.324,"Positive",0,2
0.283,1.49,63,"S005","S1",0.323,"Positive",1,0
0.3,1.474,64,"S005","S1",0.323,"Positive",2,0
0.283,3.305,65,"S005","S1",0.322,"Positive",3,0
0.317,0.121,66,"S005","S1",0.322,"Positive",4,0
0.333,1.721,67,"S005","S1",0.322,"Negative",5,0
0.333,0.626,68,"S005","S1",0.322,"Negative",0,1
0.333,0.594,69,"S005","S1",0.322,"Negative",0,2
0.3,3.477,70,"S005","S1",0.322,"Positive",0,3
0.284,1.136,71,"S005","S1",0.322,"Positive",1,0
0.283,1.819,72,"S005","S1",0.321,"Positive",2,0
0.317,2.975,73,"S005","S1",0.321,"Positive",3,0
0.3,2.643,74,"S005","S1",0.321,"Positive",4,0
0.267,3.352,75,"S005","S1",0.32,"Positive",5,0
0.283,1.392,76,"S005","S1",0.32,"Positive",6,0
0.317,1.353,77,"S005","S1",0.319,"Positive",7,0
0.283,3.057,78,"S005","S1",0.319,"Positive",8,0
0.317,1.555,79,"S005","S1",0.319,"Positive",9,0
0.3,1.695,80,"S005","S1",0.319,"Positive",10,0
0.317,1.355,81,"S005","S1",0.319,"Positive",11,0
0.283,3.082,82,"S005","S1",0.318,"Positive",12,0
0.283,3.233,83,"S005","S1",0.318,"Positive",13,0
0.333,0.593,84,"S005","S1",0.318,"Negative",14,0
0.3,2.626,85,"S005","S1",0.318,"Positive",0,1
0.317,2.071,86,"S005","S1",0.318,"Positive",1,0
0.3,2.719,87,"S005","S1",0.318,"Positive",2,0
0.317,1.291,88,"S005","S1",0.318,"Positive",3,0
0.317,3.387,89,"S005","S1",0.318,"Positive",4,0
0.317,1.799,90,"S005","S1",0.318,"Positive",5,0
0.417,0.316,91,"S005","S1",0.319,"Negative",6,0
0.367,0.187,92,"S005","S1",0.319,"Negative",0,1
0.317,3.349,93,"S005","S1",0.319,"Positive",0,2
0.3,3.13,94,"S005","S1",0.319,"Positive",1,0
0.317,0.74,95,"S005","S1",0.319,"Positive",2,0
0.3,3.101,96,"S005","S1",0.319,"Positive",3,0
0.35,0.176,97,"S005","S1",0.319,"Negative",4,0
0.317,1.994,98,"S005","S1",0.319,"Positive",0,1
0.417,0.168,99,"S005","S1",0.32,"Negative",1,0
0.283,1.492,100,"S005","S1",0.32,"Positive",0,1
0.317,1.54,101,"S005","S1",0.32,"Positive",1,0
0.283,0.148,102,"S005","S1",0.319,"Positive",2,0
0.283,3.196,103,"S005","S1",0.319,"Positive",3,0
0.317,2.788,104,"S005","S1",0.319,"Positive",4,0
0.3,2.789,105,"S005","S1",0.319,"Positive",5,0
0.35,0.156,106,"S005","S1",0.319,"Negative",6,0
0.333,0.688,107,"S005","S1",0.319,"Negative",0,1
0.317,1.706,108,"S005","S1",0.319,"Positive",0,2
0.3,2.173,109,"S005","S1",0.319,"Positive",1,0
0.317,1.746,110,"S005","S1",0.319,"Positive",2,0
0.3,2.241,111,"S005","S1",0.319,"Positive",3,0
0.267,3.234,112,"S005","S1",0.318,"Positive",4,0
0.35,0.787,113,"S005","S1",0.319,"Negative",5,0
0.3,1.702,114,"S005","S1",0.318,"Positive",0,1
0.35,1.566,115,"S005","S1",0.319,"Negative",1,0
0.283,1.42,116,"S005","S1",0.318,"Positive",0,1
0.3,2.493,117,"S005","S1",0.318,"Positive",1,0
0.316,3.016,118,"S005","S1",0.318,"Positive",2,0
0.317,0.989,119,"S005","S1",0.318,"Positive",3,0
0.317,0.799,120,"S005","S1",0.318,"Positive",4,0
0.333,2.721,1,"S005","S2",NA,"Positive",0,0
0.317,2.117,2,"S005","S2",0.325,"Positive",1,0
0.333,1.809,3,"S005","S2",0.328,"Negative",2,0
0.3,1.394,4,"S005","S2",0.321,"Positive",0,1
0.283,2.649,5,"S005","S2",0.313,"Positive",1,0
0.267,1.892,6,"S005","S2",0.306,"Positive",2,0
0.3,2.473,7,"S005","S2",0.305,"Positive",3,0
0.367,1.541,8,"S005","S2",0.312,"Negative",4,0
0.316,2.922,9,"S005","S2",0.313,"Negative",0,1
0.317,3.207,10,"S005","S2",0.313,"Negative",0,2
0.35,0.464,11,"S005","S2",0.317,"Negative",0,3
0.3,1.75,12,"S005","S2",0.315,"Positive",0,4
0.317,1.205,13,"S005","S2",0.315,"Negative",1,0
0.317,2.263,14,"S005","S2",0.315,"Negative",0,1
0.283,3,15,"S005","S2",0.313,"Positive",0,2
0.333,0.317,16,"S005","S2",0.315,"Negative",1,0
0.316,1.738,17,"S005","S2",0.315,"Negative",0,1
0.284,2.208,18,"S005","S2",0.313,"Positive",0,2
0.3,2.924,19,"S005","S2",0.312,"Positive",1,0
0.3,2.071,20,"S005","S2",0.312,"Positive",2,0
0.367,0.738,21,"S005","S2",0.314,"Negative",3,0
0.433,0.104,22,"S005","S2",0.32,"Negative",0,1
0.284,3.061,23,"S005","S2",0.318,"Positive",0,2
0.3,1.872,24,"S005","S2",0.317,"Positive",1,0
0.333,0.999,25,"S005","S2",0.318,"Negative",2,0
0.35,1.522,26,"S005","S2",0.319,"Negative",0,1
0.3,2.227,27,"S005","S2",0.319,"Positive",0,2
0.267,2.854,28,"S005","S2",0.317,"Positive",1,0
0.3,3.358,29,"S005","S2",0.316,"Positive",2,0
0.317,1.073,30,"S005","S2",0.316,"Negative",3,0
0.367,0.826,31,"S005","S2",0.318,"Negative",0,1
0.3,1.694,32,"S005","S2",0.317,"Positive",0,2
0.3,2.512,33,"S005","S2",0.317,"Positive",1,0
0.283,3.097,34,"S005","S2",0.316,"Positive",2,0
0.283,3.267,35,"S005","S2",0.315,"Positive",3,0
0.317,0.947,36,"S005","S2",0.315,"Negative",4,0
0.35,2.586,37,"S005","S2",0.316,"Negative",0,1
0.383,0.287,38,"S005","S2",0.318,"Negative",0,2
0.3,0.877,39,"S005","S2",0.317,"Positive",0,3
0.3,2.649,40,"S005","S2",0.317,"Positive",1,0
0.317,1.099,41,"S005","S2",0.317,"Positive",2,0
0.333,0.976,42,"S005","S2",0.317,"Negative",3,0
0.317,3.479,43,"S005","S2",0.317,"Positive",0,1
0.3,1.688,44,"S005","S2",0.317,"Positive",1,0
0.3,2.666,45,"S005","S2",0.316,"Positive",2,0
0.3,3.469,46,"S005","S2",0.316,"Positive",3,0
0.367,1.127,47,"S005","S2",0.317,"Negative",4,0
0.317,0.999,48,"S005","S2",0.317,"Positive",0,1
0.35,1.138,49,"S005","S2",0.318,"Negative",1,0
0.45,0.548,50,"S005","S2",0.32,"Negative",0,1
0.317,1.024,51,"S005","S2",0.32,"Positive",0,2
0.317,2.382,52,"S005","S2",0.32,"Positive",1,0
0.317,0.707,53,"S005","S2",0.32,"Positive",2,0
0.266,3.416,54,"S005","S2",0.319,"Positive",3,0
0.3,3.156,55,"S005","S2",0.319,"Positive",4,0
0.35,2.176,56,"S005","S2",0.319,"Negative",5,0
0.3,3.012,57,"S005","S2",0.319,"Positive",0,1
0.333,1.616,58,"S005","S2",0.319,"Negative",1,0
0.283,1.36,59,"S005","S2",0.319,"Positive",0,1
0.3,1.878,60,"S005","S2",0.318,"Positive",1,0
0.35,0.396,61,"S005","S2",0.319,"Negative",2,0
0.3,0.818,62,"S005","S2",0.319,"Positive",0,1
0.333,2.929,63,"S005","S2",0.319,"Negative",1,0
0.317,3.3,64,"S005","S2",0.319,"Positive",0,1
0.283,1.835,65,"S005","S2",0.318,"Positive",1,0
0.3,2.959,66,"S005","S2",0.318,"Positive",2,0
0.317,1.911,67,"S005","S2",0.318,"Positive",3,0
0.333,1.432,68,"S005","S2",0.318,"Negative",4,0
0.283,3.084,69,"S005","S2",0.318,"Positive",0,1
0.333,2.999,70,"S005","S2",0.318,"Negative",1,0
0.317,3.164,71,"S005","S2",0.318,"Positive",0,1
0.317,3.26,72,"S005","S2",0.318,"Positive",1,0
0.417,2.853,73,"S005","S2",0.319,"Negative",2,0
0.3,3.48,74,"S005","S2",0.319,"Positive",0,1
0.317,2.326,75,"S005","S2",0.319,"Positive",1,0
0.35,1.743,76,"S005","S2",0.319,"Negative",2,0
0.4,0.365,77,"S005","S2",0.32,"Negative",0,1
0.367,0.236,78,"S005","S2",0.321,"Negative",0,2
0.333,1.278,79,"S005","S2",0.321,"Negative",0,3
0.317,1.08,80,"S005","S2",0.321,"Positive",0,4
0.316,2.419,81,"S005","S2",0.321,"Positive",1,0
0.417,0.541,82,"S005","S2",0.322,"Negative",2,0
0.3,1.913,83,"S005","S2",0.322,"Positive",0,1
0.283,1.106,84,"S005","S2",0.321,"Positive",1,0
0.267,3.411,85,"S005","S2",0.321,"Positive",2,0
0.283,3.074,86,"S005","S2",0.32,"Positive",3,0
0.284,2.65,87,"S005","S2",0.32,"Positive",4,0
0.35,1.764,88,"S005","S2",0.32,"Negative",5,0
0.317,1.646,89,"S005","S2",0.32,"Positive",0,1
0.283,2.855,90,"S005","S2",0.32,"Positive",1,0
0.3,2.885,91,"S005","S2",0.32,"Positive",2,0
0.316,1.529,92,"S005","S2",0.32,"Positive",3,0
0.383,0.624,93,"S005","S2",0.32,"Negative",4,0
0.4,1.043,94,"S005","S2",0.321,"Negative",0,1
0.3,2.598,95,"S005","S2",0.321,"Positive",0,2
0.317,2.975,96,"S005","S2",0.321,"Positive",1,0
0.383,0.243,97,"S005","S2",0.321,"Negative",2,0
0.433,1.15,98,"S005","S2",0.323,"Negative",0,1
0.35,0.423,99,"S005","S2",0.323,"Negative",0,2
0.3,1.902,100,"S005","S2",0.323,"Positive",0,3
0.317,0.84,101,"S005","S2",0.323,"Positive",1,0
0.333,0.92,102,"S005","S2",0.323,"Negative",2,0
0.316,2.812,103,"S005","S2",0.323,"Positive",0,1
0.35,1.664,104,"S005","S2",0.323,"Negative",1,0
0.316,2.529,105,"S005","S2",0.323,"Positive",0,1
0.333,2.111,106,"S005","S2",0.323,"Negative",1,0
0.3,3.134,107,"S005","S2",0.323,"Positive",0,1
0.3,1.699,108,"S005","S2",0.323,"Positive",1,0
0.3,1.764,109,"S005","S2",0.322,"Positive",2,0
0.317,3.392,110,"S005","S2",0.322,"Positive",3,0
0.3,2.709,111,"S005","S2",0.322,"Positive",4,0
0.417,0.254,112,"S005","S2",0.323,"Negative",5,0
0.367,0.846,113,"S005","S2",0.323,"Negative",0,1
0.467,0.839,114,"S005","S2",0.325,"Negative",0,2
0.333,1.62,115,"S005","S2",0.325,"Negative",0,3
0.317,1.038,116,"S005","S2",0.325,"Positive",0,4
0.333,0.975,117,"S005","S2",0.325,"Negative",1,0
0.4,0.338,118,"S005","S2",0.325,"Negative",0,1
0.333,1.189,119,"S005","S2",0.325,"Negative",0,2
0.35,0.441,120,"S005","S2",0.326,"Negative",0,3
0.517,2.875,1,"S007","S1",NA,"Positive",0,0
0.317,1.682,2,"S007","S1",0.417,"Positive",1,0
0.283,0.862,3,"S007","S1",0.372,"Positive",2,0
0.283,2.733,4,"S007","S1",0.35,"Positive",3,0
0.267,1.16,5,"S007","S1",0.333,"Positive",4,0
0.25,2.666,6,"S007","S1",0.319,"Positive",5,0
0.3,3.201,7,"S007","S1",0.317,"Positive",6,0
0.35,2.717,8,"S007","S1",0.321,"Negative",7,0
0.317,2.051,9,"S007","S1",0.32,"Positive",0,1
0.267,1.29,10,"S007","S1",0.315,"Positive",1,0
0.283,0.631,11,"S007","S1",0.312,"Positive",2,0
0.4,1.503,12,"S007","S1",0.319,"Negative",3,0
0.35,1.433,13,"S007","S1",0.322,"Negative",0,1
0.3,1.979,14,"S007","S1",0.32,"Positive",0,2
0.267,0.797,15,"S007","S1",0.317,"Positive",1,0
0.3,2.966,16,"S007","S1",0.316,"Positive",2,0
0.283,1.46,17,"S007","S1",0.314,"Positive",3,0
0.267,2.323,18,"S007","S1",0.311,"Positive",4,0
0.25,3.479,19,"S007","S1",0.308,"Positive",5,0
0.25,2.661,20,"S007","S1",0.305,"Positive",6,0
0.3,1.482,21,"S007","S1",0.305,"Positive",7,0
0.283,1.724,22,"S007","S1",0.304,"Positive",8,0
0.267,3.5,23,"S007","S1",0.302,"Positive",9,0
0.283,1.042,24,"S007","S1",0.301,"Positive",10,0
0.25,1.209,25,"S007","S1",0.299,"Positive",11,0
0.317,1.716,27,"S007","S1",0.29,"Negative",13,0
0.25,2.732,28,"S007","S1",0.288,"Positive",0,1
0.367,0.158,29,"S007","S1",0.291,"Negative",1,0
0.283,3.297,30,"S007","S1",0.291,"Positive",0,1
0.267,2.921,31,"S007","S1",0.29,"Positive",1,0
0.317,0.977,32,"S007","S1",0.291,"Negative",2,0
0.433,0.312,33,"S007","S1",0.295,"Negative",0,1
0.4,3.232,34,"S007","S1",0.298,"Negative",0,2
0.317,0.663,35,"S007","S1",0.299,"Negative",0,3
0.3,0.626,36,"S007","S1",0.299,"Negative",0,4
0.383,1.875,37,"S007","S1",0.301,"Negative",0,5
0.617,0.688,38,"S007","S1",0.309,"Negative",0,6
0.3,2.808,39,"S007","S1",0.309,"Positive",0,7
0.267,1.105,40,"S007","S1",0.308,"Positive",1,0
0.317,0.616,41,"S007","S1",0.308,"Negative",2,0
0.3,1.078,42,"S007","S1",0.308,"Positive",0,1
0.267,1.131,43,"S007","S1",0.307,"Positive",1,0
0.25,2.249,44,"S007","S1",0.306,"Positive",2,0
0.25,2.898,45,"S007","S1",0.304,"Positive",3,0
0.25,2.406,46,"S007","S1",0.303,"Positive",4,0
0.283,3.369,47,"S007","S1",0.303,"Positive",5,0
0.45,0.133,48,"S007","S1",0.306,"Negative",6,0
0.283,2.325,49,"S007","S1",0.305,"Positive",0,1
0.283,3.443,50,"S007","S1",0.305,"Positive",1,0
0.283,1.714,51,"S007","S1",0.305,"Positive",2,0
0.267,1.286,52,"S007","S1",0.304,"Positive",3,0
0.283,0.265,53,"S007","S1",0.303,"Positive",4,0
0.3,2.507,54,"S007","S1",0.303,"Positive",5,0
0.3,2.314,55,"S007","S1",0.303,"Positive",6,0
0.267,3.371,56,"S007","S1",0.303,"Positive",7,0
0.316,1.966,57,"S007","S1",0.303,"Negative",8,0
0.283,1.081,58,"S007","S1",0.303,"Positive",0,1
0.317,2.551,59,"S007","S1",0.303,"Negative",1,0
0.333,3.121,60,"S007","S1",0.303,"Negative",0,1
0.317,1.051,61,"S007","S1",0.304,"Negative",0,2
0.3,3.041,62,"S007","S1",0.303,"Positive",0,3
0.333,1.404,63,"S007","S1",0.304,"Negative",1,0
0.55,1.232,64,"S007","S1",0.308,"Negative",0,1
0.3,1.197,65,"S007","S1",0.308,"Positive",0,2
0.283,2.427,66,"S007","S1",0.307,"Positive",1,0
0.3,1.053,67,"S007","S1",0.307,"Positive",2,0
0.3,0.567,68,"S007","S1",0.307,"Positive",3,0
0.25,1.753,69,"S007","S1",0.306,"Positive",4,0
0.25,2.455,70,"S007","S1",0.305,"Positive",5,0
0.283,2.728,71,"S007","S1",0.305,"Positive",6,0
0.35,0.119,72,"S007","S1",0.306,"Negative",7,0
0.333,1.031,73,"S007","S1",0.306,"Negative",0,1
0.283,2.779,74,"S007","S1",0.306,"Positive",0,2
0.3,1.663,75,"S007","S1",0.306,"Positive",1,0
0.283,3.429,76,"S007","S1",0.305,"Positive",2,0
0.4,0.225,77,"S007","S1",0.307,"Negative",3,0
0.283,1.861,78,"S007","S1",0.306,"Positive",0,1
0.317,3.012,79,"S007","S1",0.307,"Negative",1,0
0.267,1.935,80,"S007","S1",0.306,"Positive",0,1
0.283,0.953,81,"S007","S1",0.306,"Positive",1,0
0.283,0.267,82,"S007","S1",0.305,"Positive",2,0
0.267,2.389,83,"S007","S1",0.305,"Positive",3,0
0.25,1.939,84,"S007","S1",0.304,"Positive",4,0
0.283,0.62,85,"S007","S1",0.304,"Positive",5,0
0.25,1.628,86,"S007","S1",0.303,"Positive",6,0
0.233,1.142,87,"S007","S1",0.303,"Positive",7,0
0.3,0.839,88,"S007","S1",0.303,"Positive",8,0
0.383,0.146,89,"S007","S1",0.304,"Negative",9,0
0.3,1.675,90,"S007","S1",0.304,"Positive",0,1
0.233,1.947,91,"S007","S1",0.303,"Positive",1,0
0.3,2.837,92,"S007","S1",0.303,"Positive",2,0
0.3,2.36,93,"S007","S1",0.303,"Positive",3,0
0.383,1.088,94,"S007","S1",0.304,"Negative",4,0
0.25,3.467,95,"S007","S1",0.303,"Positive",0,1
0.267,1.327,96,"S007","S1",0.303,"Positive",1,0
0.267,2.885,97,"S007","S1",0.302,"Positive",2,0
0.317,0.472,98,"S007","S1",0.302,"Negative",3,0
0.317,0.705,99,"S007","S1",0.303,"Negative",0,1
0.3,0.327,100,"S007","S1",0.303,"Positive",0,2
0.267,2.097,101,"S007","S1",0.302,"Positive",1,0
0.267,2.519,102,"S007","S1",0.302,"Positive",2,0
0.267,1.552,103,"S007","S1",0.301,"Positive",3,0
0.25,1.894,104,"S007","S1",0.301,"Positive",4,0
0.267,2.991,105,"S007","S1",0.301,"Positive",5,0
0.3,1.818,106,"S007","S1",0.301,"Positive",6,0
0.3,0.665,107,"S007","S1",0.301,"Positive",7,0
0.283,3.2,108,"S007","S1",0.3,"Positive",8,0
0.317,1.593,109,"S007","S1",0.301,"Negative",9,0
0.45,0.708,110,"S007","S1",0.302,"Negative",0,1
0.317,1.267,111,"S007","S1",0.302,"Negative",0,2
0.283,3.257,112,"S007","S1",0.302,"Positive",0,3
0.283,2.15,113,"S007","S1",0.302,"Positive",1,0
0.283,1.643,114,"S007","S1",0.302,"Positive",2,0
0.3,0.407,115,"S007","S1",0.302,"Positive",3,0
0.267,1.282,116,"S007","S1",0.301,"Positive",4,0
0.3,2.56,117,"S007","S1",0.301,"Positive",5,0
0.3,1.182,118,"S007","S1",0.301,"Positive",6,0
0.267,1.944,119,"S007","S1",0.301,"Positive",7,0
0.367,2.554,120,"S007","S1",0.302,"Negative",8,0
0.317,1.487,1,"S007","S2",NA,"Positive",0,0
0.267,3.03,2,"S007","S2",0.292,"Positive",1,0
0.316,0.677,3,"S007","S2",0.3,"Negative",2,0
0.25,2.322,4,"S007","S2",0.287,"Positive",0,1
0.267,1.777,5,"S007","S2",0.283,"Positive",1,0
0.25,0.726,6,"S007","S2",0.278,"Positive",2,0
0.283,3.03,7,"S007","S2",0.279,"Negative",3,0
0.35,0.127,8,"S007","S2",0.287,"Negative",0,1
0.333,0.708,9,"S007","S2",0.293,"Negative",0,2
0.283,0.293,10,"S007","S2",0.292,"Positive",0,3
0.283,3.106,11,"S007","S2",0.291,"Positive",1,0
0.267,1.649,12,"S007","S2",0.289,"Positive",2,0
0.267,2.614,13,"S007","S2",0.287,"Positive",3,0
0.317,0.392,14,"S007","S2",0.289,"Negative",4,0
0.333,1.224,15,"S007","S2",0.292,"Negative",0,1
0.25,2.67,16,"S007","S2",0.29,"Positive",0,2
0.35,0.21,17,"S007","S2",0.293,"Negative",1,0
0.25,2.74,18,"S007","S2",0.291,"Positive",0,1
0.25,2.134,19,"S007","S2",0.289,"Positive",1,0
0.3,0.772,20,"S007","S2",0.289,"Negative",2,0
0.283,2.008,21,"S007","S2",0.289,"Positive",0,1
0.283,0.896,22,"S007","S2",0.289,"Positive",1,0
0.283,2.237,23,"S007","S2",0.288,"Positive",2,0
0.283,1.19,24,"S007","S2",0.288,"Positive",3,0
0.283,1.436,25,"S007","S2",0.288,"Positive",4,0
0.283,2.243,26,"S007","S2",0.288,"Positive",5,0
0.266,3.407,27,"S007","S2",0.287,"Positive",6,0
0.3,0.36,28,"S007","S2",0.287,"Negative",7,0
0.284,1.414,29,"S007","S2",0.287,"Positive",0,1
0.267,1.425,30,"S007","S2",0.287,"Positive",1,0
0.267,2.081,31,"S007","S2",0.286,"Positive",2,0
0.266,3.056,32,"S007","S2",0.285,"Positive",3,0
0.333,0.775,33,"S007","S2",0.287,"Negative",4,0
0.3,2.411,34,"S007","S2",0.287,"Negative",0,1
0.4,0.595,35,"S007","S2",0.29,"Negative",0,2
0.3,0.665,36,"S007","S2",0.291,"Negative",0,3
0.3,3.029,37,"S007","S2",0.291,"Negative",0,4
0.267,2.943,38,"S007","S2",0.29,"Positive",0,5
0.283,2.182,39,"S007","S2",0.29,"Positive",1,0
0.55,0.3,40,"S007","S2",0.297,"Negative",2,0
0.3,1.334,41,"S007","S2",0.297,"Negative",0,1
0.317,3.282,42,"S007","S2",0.297,"Negative",0,2
0.267,2.756,43,"S007","S2",0.297,"Positive",0,3
0.283,3.064,45,"S007","S2",0.31,"Positive",0,1
0.283,0.931,46,"S007","S2",0.309,"Positive",1,0
0.267,2.375,47,"S007","S2",0.308,"Positive",2,0
0.3,0.849,48,"S007","S2",0.308,"Positive",3,0
0.267,0.92,49,"S007","S2",0.307,"Positive",4,0
0.267,3.249,50,"S007","S2",0.306,"Positive",5,0
0.25,2.824,51,"S007","S2",0.305,"Positive",6,0
0.3,0.73,52,"S007","S2",0.305,"Positive",7,0
0.267,2.558,53,"S007","S2",0.304,"Positive",8,0
0.3,0.326,54,"S007","S2",0.304,"Positive",9,0
0.283,0.732,55,"S007","S2",0.304,"Positive",10,0
0.25,3.198,56,"S007","S2",0.303,"Positive",11,0
0.317,1.286,57,"S007","S2",0.303,"Negative",12,0
0.35,0.349,58,"S007","S2",0.304,"Negative",0,1
0.283,1.313,59,"S007","S2",0.304,"Positive",0,2
0.317,2.792,60,"S007","S2",0.304,"Negative",1,0
0.267,2.638,61,"S007","S2",0.303,"Positive",0,1
0.3,2.991,62,"S007","S2",0.303,"Positive",1,0
0.317,3.316,63,"S007","S2",0.303,"Negative",2,0
0.283,3.192,64,"S007","S2",0.303,"Positive",0,1
0.283,1.427,65,"S007","S2",0.303,"Positive",1,0
0.3,0.352,66,"S007","S2",0.303,"Positive",2,0
0.367,2.755,67,"S007","S2",0.304,"Negative",3,0
0.333,1.343,68,"S007","S2",0.304,"Negative",0,1
0.35,0.127,69,"S007","S2",0.305,"Negative",0,2
0.383,2.683,70,"S007","S2",0.306,"Negative",0,3
0.317,3.121,71,"S007","S2",0.306,"Negative",0,4
0.316,0.335,72,"S007","S2",0.306,"Negative",0,5
0.434,1.153,73,"S007","S2",0.308,"Negative",0,6
0.283,1.371,74,"S007","S2",0.308,"Positive",0,7
0.283,0.389,75,"S007","S2",0.307,"Positive",1,0
0.3,0.186,76,"S007","S2",0.307,"Positive",2,0
0.266,1.181,77,"S007","S2",0.307,"Positive",3,0
0.25,1.211,78,"S007","S2",0.306,"Positive",4,0
0.25,1.485,79,"S007","S2",0.305,"Positive",5,0
0.267,2.52,80,"S007","S2",0.305,"Positive",6,0
0.3,0.609,81,"S007","S2",0.305,"Positive",7,0
0.267,0.875,82,"S007","S2",0.304,"Positive",8,0
0.267,2.958,83,"S007","S2",0.304,"Positive",9,0
0.317,3.196,84,"S007","S2",0.304,"Negative",10,0
0.433,0.587,85,"S007","S2",0.305,"Negative",0,1
0.284,1.652,86,"S007","S2",0.305,"Positive",0,2
0.267,1.938,87,"S007","S2",0.305,"Positive",1,0
0.3,0.172,88,"S007","S2",0.305,"Positive",2,0
0.3,3.276,89,"S007","S2",0.305,"Positive",3,0
0.283,1.941,90,"S007","S2",0.304,"Positive",4,0
0.267,2.774,91,"S007","S2",0.304,"Positive",5,0
